"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol s-1)","GPP (mmol m-2 s-1)","theta0","theta1","theta2","theta3","theta4","RHIZF0 (mmol s-1)","RHIZF1 (mmol s-1)","RHIZF2 (mmol s-1)","RHIZF3 (mmol s-1)","RHIZF4 (mmol s-1)","FinRootC0 (gC m-2 grd)","FinRootC1 (gC m-2 grd)","FinRootC2 (gC m-2 grd)","FinRootC3 (gC m-2 grd)","FinRootC4 (gC m-2 grd)","MicrobN0 (gN m-2 grd)","MicrobN1 (gN m-2 grd)","MicrobN2 (gN m-2 grd)","MicrobN3 (gN m-2 grd)","MicrobN4 (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","SLA (m-2 kgC)","RLA (m2 m-2)","RA0 (m2 m-2","RA1 (m2 m-2)","RA3 (m2 m-2)","RA4 (m2 m-2)","RA4 (m2 m-2)","Reproduction (gC m-2)"
"1",1,0.736943702452519,0,-0.5960375,-0.876385,-1.40007,7.20602713815,31.24985,69.5044,216.4395,63.3294,1.233259923615,1.39599138337119,0.216599520833333,0.209252354166667,0.211847,0.212001958333333,0.310713,0.2613287071275,0.3964820518005,0.507233589126,-1.136232314268e-06,0.06821753389305,7.470534375,14.94106,22.4117397916667,4.980144375e-06,4.98063520833333,94.7008666666667,174.739875,625.923875,37.4378041666667,124.187,0.325183604166667,1.95833020833333,7.6,2.047024375,0.121977229166667,0.2439549375,0.5227106875,2.48588166666667e-07,0.1113566875,0
"2",2,0.744178800757385,0,-0.6230295,-0.8812395,-1.38602,8.57065543876,30.663375,64.115375,222.25975,73.40935,1.388929151008,1.45877702694204,0.214019145833333,0.207811479166667,0.211393,0.212002,0.310713,0.285382035568,0.432720684784,0.59035824014,-3.33674697312e-06,0.080471813446,7.470575,14.9410677083333,22.411750625,4.97997520833333e-06,4.98072270833333,93.3037395833333,172.126104166667,615.341229166667,36.3462770833333,122.246208333333,0.387249354166667,1.95834,7.6,2.05415,0.121977416666667,0.243954833333333,0.522709666666667,2.48587625e-07,0.111358,0
"3",3,0.66362263304841,0,-0.65742,-0.8902725,-1.30857,8.55953860934,29.748375,60.923875,226.36975,71.48905,1.1581533488475,1.55007397986428,0.211260395833333,0.206292395833333,0.210862916666667,0.212002,0.310713,0.2320468171885,0.3417863963665,0.508185693612,-3.51927675098e-06,0.07613806461215,7.47064958333333,14.9410847916667,22.41175,4.97997e-06,4.98072,91.6881916666667,169.186041666667,604.180395833333,35.3031729166667,120.050395833333,0.453035645833333,1.95834,7.6,2.05415,0.121978395833333,0.243954541666667,0.522709,2.48587e-07,0.111357583333333,0
"4",4,0.863315187147152,0,-0.6925075,-0.899428,-1.44929,8.47074522561,28.7938,58.793675,229.37175,68.91065,1.517622215343,1.76916886668349,0.208584541666667,0.2048373125,0.2102605625,0.212002,0.310713,0.301296635249,0.4172353103905,0.707100139201,-3.132787454305e-06,0.0919920888431,7.47082291666667,14.9411470833333,22.41175,4.97997e-06,4.98072,90.0430583333333,166.173916666667,592.704895833333,34.30654375,117.828958333333,0.528896979166667,1.95834,7.6,2.05415770833333,0.121980416666667,0.243954375,0.522707875,2.48586625e-07,0.111357,0
"5",5,0.688100051944254,0,-0.736792,-0.9300565,-1.38846,8.39531759799,28.018,57.2477,231.50475,70.9882,1.2523969448545,1.57060078236612,0.205808541666667,0.203753354166667,0.209567791666667,0.212002,0.310713,0.250732210507,0.265579371665,0.6475203923915,-3.129173558015e-06,0.0885684953039,7.47109604166667,14.9412510416667,22.41175,4.97997e-06,4.98072,88.42399375,163.208604166667,581.437395833333,33.35335,115.65575,0.592734541666667,1.95834,7.6,2.05417,0.121983333333333,0.243955,0.522705583333333,2.48585583333333e-07,0.111356708333333,0
"6",6,0.706980199637106,0,-0.7708585,-0.949542,-1.451615,8.2778843583,27.30585,55.982275,233.1745,73.6967,1.3483658107825,1.63323772806758,0.2039645,0.203047958333333,0.208862104166667,0.212002,0.310713,0.20848416637,0.2834230797975,0.758271189,-2.873103866275e-06,0.09819090063125,7.47124270833333,14.9412966666667,22.41175,4.97997e-06,4.98072,86.83520625,160.298979166667,570.4036875,32.4401145833333,113.535,0.645616604166667,1.95834,7.6,2.05417354166667,0.121984729166667,0.243955,0.52270425,2.48584666666667e-07,0.111356,0
"7",7,0.540040504075417,0,-0.8027105,-0.9774565,-1.336445,8.20055571775,26.594675,54.92785,234.4625,65.7877,0.958067887333,1.24341496287016,0.203142145833333,0.202643458333333,0.208151041666667,0.212002,0.310713,0.1130704718754,0.1486798207682,0.608332136958,-3.00724286705e-06,0.0879881994144,7.47136729166667,14.94134,22.41175,4.97997e-06,4.98072,85.2775020833333,157.446479166667,559.602541666667,31.5635104166667,111.475666666667,0.688861604166667,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
"8",8,0.267260035015718,0,-0.8221865,-0.9879575,-1.131265,8.20237838306,25.7644,53.93195,235.49875,63.84875,0.349138107615,0.579732081585815,0.204550458333333,0.2029219375,0.207629083333333,0.2120021875,0.310711,0.00349567963684,-0.0266773000734287,0.31007408057,-3.07559569442e-06,0.0622486421488,7.47138,14.94134,22.41175,4.97997e-06,4.98072,83.7502645833333,154.650395833333,549.030875,30.7203354166667,109.464104166667,0.7102805,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
"9",9,0.332343218483224,0,-0.780839,-0.940836,-1.17996,8.373160221315,24.862275,52.885375,236.36675,65.87785,0.592991702187,0.872257599488717,0.20840675,0.203589604166667,0.2073146875,0.212003,0.310713,0.1506776879139,0.0627218450943,0.31456593279,-3.202549307985e-06,0.06502946764725,7.47138,14.94134,22.41175,4.97997e-06,4.98072,82.2512479166667,151.9070625,538.684416666667,29.9078229166667,107.488166666667,0.722436333333333,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
"10",10,0.587528620173093,0,-0.797645,-0.945974,-1.380015,8.314717825175,24.565575,51.99015,236.8865,72.1968,1.1205882720495,1.38767788524481,0.2063564375,0.2032570625,0.206881,0.212003,0.310713,0.2487874448725,0.213320930964,0.571386664492,-2.871033413985e-06,0.0870966588135,7.47138,14.94134,22.41175,4.97997e-06,4.98072,80.7846708333333,149.2221875,528.558833333333,29.1230458333333,105.565729166667,0.748981854166667,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
