"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol s-1)","GPP (mmol m-2 s-1)","theta0","theta1","theta2","theta3","theta4","RHIZF0 (mmol s-1)","RHIZF1 (mmol s-1)","RHIZF2 (mmol s-1)","RHIZF3 (mmol s-1)","RHIZF4 (mmol s-1)","FinRootC0 (gC m-2 grd)","FinRootC1 (gC m-2 grd)","FinRootC2 (gC m-2 grd)","FinRootC3 (gC m-2 grd)","FinRootC4 (gC m-2 grd)","MicrobN0 (gN m-2 grd)","MicrobN1 (gN m-2 grd)","MicrobN2 (gN m-2 grd)","MicrobN3 (gN m-2 grd)","MicrobN4 (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","SLA (m-2 kgC)","RLA (m2 m-2)","RA0 (m2 m-2","RA1 (m2 m-2)","RA3 (m2 m-2)","RA4 (m2 m-2)","RA4 (m2 m-2)","Reproduction (gC m-2)"
"1",1,0.739066304727608,0,-0.6620745,-0.878318,-1.40223,7.18434841113,31.292775,69.985225,192.124,61.4345,1.1994620427495,1.39820890868112,0.216343354166667,0.209298625,0.2118313125,0.212001958333333,0.310713,0.321777537348,0.368721708711,0.5089030675485,-9.62162021004e-06,7.052376391995e-05,9.96071,14.94106,24.90192125,4.98030666666667e-05,0.005291159375,103.645479166667,174.739875,636.540270833333,37.4391916666667,1.70826541666667,0.319067375,1.95833020833333,7.6,1.95786625,0.162192125,0.255064020833333,0.582121854166667,2.59908229166667e-07,0.00062184625,0
"2",2,0.747069315582622,0,-0.695428,-0.8843185,-1.389465,8.5667779254,30.859375,65.2959,197.252,70.8108,1.344778375764,1.46203367448425,0.213200645833333,0.207936125,0.211344916666667,0.212002,0.310713,0.346291306164,0.405842467716,0.592570184964,-3.24783833896e-06,7.73081151656e-05,9.96074166666667,14.9410677083333,24.9019214583333,4.980264375e-05,0.00540270854166667,102.15625,172.1260625,625.834729166667,36.3475916666667,1.68448145833333,0.378460395833333,1.95834,7.6,1.96468354166667,0.162192333333333,0.2550639375,0.582120645833333,2.59907625e-07,0.000623398479166667,0
"3",3,0.666570842397646,0,-0.737568,-0.894672,-1.31298,8.517904269875,30.12595,62.555025,200.90475,68.09745,1.108643532334,1.55329801161161,0.209970791666667,0.206506395833333,0.210782708333333,0.212002,0.310713,0.2738231344435,0.3238225285545,0.510927369042,-3.36493005432e-06,7.3175387414e-05,9.96080979166667,14.9410839583333,24.90192,4.98026e-05,0.00540277,100.430220833333,169.185958333333,614.524833333333,35.3044458333333,1.65413541666667,0.4393738125,1.95834,7.6,1.96469,0.162193,0.255063604166667,0.58212,2.59907e-07,0.000623399,0
"4",4,0.866910499157833,0,-0.780275,-0.905121,-1.45019,8.46161937865,29.338725,60.7519,203.64775,65.6335,1.4508946839025,1.77220958777077,0.206991041666667,0.205090208333333,0.210169479166667,0.212002,0.310713,0.347325481287,0.4097074485605,0.693777545392,-3.054395064075e-06,8.64842547956e-05,9.96096583333333,14.9411433333333,24.90192,4.98026e-05,0.00540277,98.6706458333333,166.173875,602.893979166667,34.307775,1.624229375,0.5088388125,1.95834,7.6,1.96469333333333,0.162194145833333,0.255063395833333,0.5821185625,2.59906625e-07,0.000623397583333333,0
"5",5,0.691051638746244,0,-0.8338855,-0.9334095,-1.402735,8.33684154982,28.707525,59.466325,205.7085,67.6796,1.1989156436025,1.57345257213447,0.204350895833333,0.2039366875,0.209473145833333,0.212002,0.310713,0.2334939205425,0.291322735426,0.674016737333,-2.9852061557e-06,8.59874023554e-05,9.96120770833333,14.9412447916667,24.90192,4.98026e-05,0.00540277,96.9370458333333,163.208583333333,591.471875,33.354525,1.59542875,0.567732666666667,1.95834,7.6,1.9647,0.162196416666667,0.255064,0.582115666666667,2.59905583333333e-07,0.000623394666666667,0
"6",6,0.710018771248825,0,-0.873006,-0.9654355,-1.46824,8.19294127745,28.11355,58.411,207.36975,70.6794,1.2984809515925,1.63658285512048,0.203034770833333,0.20307325,0.208735354166667,0.212002,0.310713,0.2098608818,0.2950350708275,0.7934919776975,-2.76772545585e-06,9.56381032175e-05,9.96133104166667,14.9412922916667,24.90192,4.98026e-05,0.00540277,95.2346395833333,160.299,580.2854375,32.44126875,1.56782208333333,0.615065583333333,1.95834,7.6,1.96470375,0.1621978125,0.255064,0.5821143125,2.59904666666667e-07,0.0006233933125,0
"7",7,0.541488681583553,0,-0.9115765,-0.997086,-1.3548,8.12317175384,27.501275,57.53255,208.7285,62.5654,0.913712374664,1.24812469438333,0.202392104166667,0.202537229166667,0.207981583333333,0.212002,0.310713,0.1100236795152,0.1576519741782,0.645952903847,-2.83781672978e-06,8.6235873196e-05,9.961436875,14.94133,24.90192,4.98026e-05,0.00540277,93.5645333333333,157.4464375,569.3341875,31.5646166666667,1.54086291666667,0.652909625,1.95834,7.6,1.96471,0.162199,0.255064,0.582113,2.59904e-07,0.000623392,0
"8",8,0.268906871310679,0,-0.935326,-1.00911,-1.151615,8.1269234658,26.75345,56.6861,209.8745,56.64505,0.314190515454,0.582404742244808,0.203968145833333,0.202688333333333,0.207424083333333,0.2120021875,0.310711,-0.00637853531162,-0.01218923956863,0.332701743209,-2.66120073551e-06,5.92063578518e-05,9.96145,14.94133,24.90192,4.98026e-05,0.00540277,91.9263604166667,154.650375,558.614416666667,30.7214041666667,1.51408958333333,0.671927875,1.95834,7.6,1.96471,0.162199,0.255064,0.582113,2.59904e-07,0.000623392,0
"9",9,0.334390101871461,0,-0.8822975,-0.950032,-1.188635,8.322184669875,25.9193,55.764975,210.85525,60.10745,0.5450603894475,0.877380373116426,0.2077539375,0.20331775,0.207092833333333,0.212003,0.310713,0.17942746545975,0.0454568411673,0.3201178222515,-2.89603993077e-06,6.157818967245e-05,9.96145,14.94133,24.90192,4.98026e-05,0.00540277,90.3175916666667,151.906770833333,548.122041666667,29.9088416666667,1.48807875,0.683431958333333,1.95834,7.6,1.96471,0.162199,0.255064,0.582113,2.59904e-07,0.000623392,0
"10",10,0.591250088944944,0,-0.9046595,-0.955447,-1.389575,8.27939917328,25.694975,54.98475,211.544,67.82495,1.0591257888095,1.39276383585016,0.20543875,0.20305425,0.206650354166667,0.212003,0.310713,0.2909211130575,0.191009572943,0.5771157900605,-2.71003831804e-06,8.280946227835e-05,9.96145,14.94133,24.90192,4.98026e-05,0.00540277,88.74331875,149.222125,537.853354166667,29.1240479166667,1.462475625,0.706655,1.95834,7.6,1.96471,0.162199,0.255064,0.582113,2.59904e-07,0.000623392,0
